,Job Code,Job Title,Job Family,Description
31,31-2011,Occupational Therapy Assistants,Healthcare Support Occupations,"Assist occupational therapists in providing occupational therapy treatments and procedures.  May, in accordance with State laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments.  Generally requires formal training."
31,31-2012,Occupational Therapy Aides,Healthcare Support Occupations,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations.  These duties include preparing patient and treatment room."
31,31-2021,Physical Therapist Assistants,Healthcare Support Occupations,"Assist physical therapists in providing physical therapy treatments and procedures.   May, in accordance with State laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist.  Generally requires formal training."
31,31-2022,Physical Therapist Aides,Healthcare Support Occupations,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations.  These duties include preparing the patient and the treatment area."
31,31-9011,Massage Therapists,Healthcare Support Occupations,"Perform therapeutic massages of soft tissues and joints.  May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
31,31-9091,Dental Assistants,Healthcare Support Occupations,"Assist dentist, set up equipment, prepare patient for treatment, and keep records."
31,31-9092,Medical Assistants,Healthcare Support Occupations,"Perform administrative and certain clinical duties under the direction of a physician.  Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.  Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.  Excludes ""Physician Assistants"" (29-1071). "
31,31-9093,Medical Equipment Preparers,Healthcare Support Occupations,"Prepare, sterilize, install, or clean laboratory or healthcare equipment.  May perform routine laboratory tasks and operate or inspect equipment."
31,31-9094,Medical Transcriptionists,Healthcare Support Occupations,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries.  Transcribe dictated reports and translate abbreviations into fully understandable form.  Edit as necessary and return reports in either printed or electronic form for review and signature, or correction."
31,31-9095,Pharmacy Aides,Healthcare Support Occupations,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs.  May operate cash register and accept prescriptions for filling."
31,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support Occupations,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics.  Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment.  May provide routine post-operative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.  Excludes ""Nonfarm Animal Caretakers"" (39-2021)."
33,33-1011,First-Line Supervisors of Correctional Officers,Protective Service Occupations,Directly supervise and coordinate activities of correctional officers and jailers.
33,33-1012,First-Line Supervisors of Police and Detectives,Protective Service Occupations,Directly supervise and coordinate activities of members of police force.
33,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Service Occupations,Directly supervise and coordinate activities of workers engaged in fire fighting and fire prevention and control.
33,33-2011,Firefighters,Protective Service Occupations,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk.  Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance. "
33,33-2021,Fire Inspectors and Investigators,Protective Service Occupations,"Inspect buildings to detect fire hazards and enforce local ordinances and State laws, or investigate and gather facts to determine cause of fires and explosions."
33,33-3011,Bailiffs,Protective Service Occupations,Maintain order in courts of law.
33,33-3012,Correctional Officers and Jailers,Protective Service Occupations,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures.  May guard prisoners in transit between jail, courtroom, prison, or other point.  Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
33,33-3021,Detectives and Criminal Investigators,Protective Service Occupations,"Conduct investigations related to suspected violations of Federal, State, or local laws to prevent or solve crimes.  Excludes ""Private Detectives and Investigators"" (33-9021)."
33,33-3031,Fish and Game Wardens,Protective Service Occupations,Patrol assigned area to prevent fish and game law violations.  Investigate reports of damage to crops or property by wildlife.  Compile biological data.
33,33-3041,Parking Enforcement Workers,Protective Service Occupations,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."
33,33-3051,Police and Sheriff's Patrol Officers,Protective Service Occupations,"Maintain order and protect life and property by enforcing local, tribal, State, or Federal laws and ordinances.  Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. "
33,33-3052,Transit and Railroad Police,Protective Service Occupations,"Protect and police railroad and transit property, employees, or passengers."
33,33-9011,Animal Control Workers,Protective Service Occupations,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
33,33-9021,Private Detectives and Investigators,Protective Service Occupations,"Gather, analyze, compile and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment. "
33,33-9031,Gaming Surveillance Officers and Gaming Investigators,Protective Service Occupations,"Act as oversight and security agent for management and customers.  Observe casino or casino hotel operation for irregular activities such as cheating or theft by either employees or patrons.  May use one-way mirrors above the casino floor, cashier's cage, and from desk.  Use of audio/video equipment is also common to observe operation of the business.  Usually required to provide verbal and written reports of all violations and suspicious behavior to supervisor."
33,33-9032,Security Guards,Protective Service Occupations,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules.  May operate x-ray and metal detector equipment.  Excludes “Transportation Security Screeners” (33-9093)."
33,33-9091,Crossing Guards,Protective Service Occupations,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
33,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service Occupations,"Monitor recreational areas, such as pools, beaches, or ski slopes to provide assistance and protection to participants."
35,35-1011,Chefs and Head Cooks,Food Preparation and Serving Related Occupations,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods.  May plan and price menu items, order supplies, and keep records and accounts. "
35,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related Occupations,Directly supervise and coordinate activities of workers engaged in preparing and serving food.
35,35-2011,"Cooks, Fast Food",Food Preparation and Serving Related Occupations,Prepare and cook food in a fast food restaurant with a limited menu.  Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.
35,35-2012,"Cooks, Institution and Cafeteria",Food Preparation and Serving Related Occupations,"Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."
35,35-2013,"Cooks, Private Household",Food Preparation and Serving Related Occupations,Prepare meals in private homes.  Includes personal chefs.
35,35-2014,"Cooks, Restaurant",Food Preparation and Serving Related Occupations,"Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants.  May order supplies, keep records and accounts, price items on menu, or plan menu."
35,35-2015,"Cooks, Short Order",Food Preparation and Serving Related Occupations,"Prepare and cook to order a variety of foods that require only a short preparation time.  May take orders from customers and serve patrons at counters or tables.  Excludes ""Fast Food Cooks"" (35-2011)."
35,35-2021,Food Preparation Workers,Food Preparation and Serving Related Occupations,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
35,35-3011,Bartenders,Food Preparation and Serving Related Occupations,"Mix and serve drinks to patrons, directly or through waitstaff."
35,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving Related Occupations,Perform duties which combine preparing and serving food and nonalcoholic beverages.
35,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving Related Occupations,"Serve food to diners at counter or from a steam table.  Counter attendants who also wait tables are included in ""Waiters and Waitresses"" (35-3031)."
35,35-3031,Waiters and Waitresses,Food Preparation and Serving Related Occupations,"Take orders and serve food and beverages to patrons at tables in dining establishment.  Excludes ""Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"" (35-3022)."
35,35-3041,"Food Servers, Nonrestaurant",Food Preparation and Serving Related Occupations,"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.  Excludes ""Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"" (41-9091) and ""Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"" (35-3022)."
35,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related Occupations,"Facilitate food service.  Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."
35,35-9021,Dishwashers,Food Preparation and Serving Related Occupations,"Clean dishes, kitchen, food preparation equipment, or utensils."
35,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related Occupations,"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
37,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance Occupations,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
37,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations,"Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities.  Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs."
37,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance Occupations,"Keep buildings in clean and orderly condition.  Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish.  Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
37,37-2012,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance Occupations,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner.  Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."
37,37-2021,Pest Control Workers,Building and Grounds Cleaning and Maintenance Occupations,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas. 
37,37-3011,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance Occupations,"Landscape or maintain grounds of property using hand or power tools or equipment.  Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.  Excludes ""Farmworkers and Laborers, Crop, Nursery, and Greenhouse"" (45-2092)."
37,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building and Grounds Cleaning and Maintenance Occupations,"Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops.  Usually requires specific training and State or Federal certification.  Excludes ""Commercial Pilots"" (53-2012) who dust or spray crops from aircraft."
37,37-3013,Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance Occupations,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree.  Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners.  Works off the ground in the tree canopy and may use truck-mounted lifts.  Excludes workers who primarily perform duties of ""Pesticide Handlers, Sprayers, and Applicators, Vegetation"" (37-3012) and ""Landscaping and Groundskeeping Workers"" (37-3011)."
39,39-1021,First-Line Supervisors of Personal Service Workers,Personal Care and Service Occupations,"Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies."
39,39-2011,Animal Trainers,Personal Care and Service Occupations,"Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities.  Accustom animals to human voice and contact; and condition animals to respond to commands.  Train animals according to prescribed standards for show or competition.  May train animals to carry pack loads or work as part of pack team."
39,39-2021,Nonfarm Animal Caretakers,Personal Care and Service Occupations,"Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice.  Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums.  May keep records of feedings, treatments, and animals received or discharged.  May clean, disinfect, and repair cages, pens, or fish tanks.  Excludes ""Veterinary Assistants and Laboratory Animal Caretakers"" (31-9096)."
39,39-3011,Gaming Dealers,Personal Care and Service Occupations,"Operate table games.  Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gaming equipment.  Distribute winnings or collect players' money or chips.  May compare the house's hand against players' hands."
39,39-3012,Gaming and Sports Book Writers and Runners,Personal Care and Service Occupations,"Post information enabling patrons to wager on various races and sporting events.  Assist in the operation of games such as keno and bingo.  May operate random number generating equipment and announce the numbers for patrons.  Receive, verify, and record patrons' wagers.  Scan and process winning tickets presented by patrons and payout winnings for those wagers.  "
39,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service Occupations,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and locating such facilities as rest rooms and telephones."
39,39-3091,Amusement and Recreation Attendants,Personal Care and Service Occupations,"Perform a variety of attending duties at amusement or recreation facility.  May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides."
39,39-3092,Costume Attendants,Personal Care and Service Occupations,"Select, fit, and take care of costumes for cast members, and aid entertainers.  May assist with multiple costume changes during performances."
39,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care and Service Occupations,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
39,39-4011,Embalmers,Personal Care and Service Occupations,Prepare bodies for interment in conformity with legal requirements.
39,39-4021,Funeral Attendants,Personal Care and Service Occupations,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service; arranging floral offerings or lights around casket; directing or escorting mourners; closing casket; and issuing and storing funeral equipment."
39,39-5011,Barbers,Personal Care and Service Occupations,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair, trimming beards, or giving shaves."
39,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations,"Provide beauty services, such as shampooing, cutting, coloring, and styling hair, and massaging and treating scalp.  May apply makeup, dress wigs, perform hair removal, and provide nail and skin care services.  Excludes ""Makeup Artists, Theatrical and Performance (39-5091), ""Manicurists and Pedicurists"" (39-5092), and ""Skincare Specialists"" (39-5094)."
39,39-5091,"Makeup Artists, Theatrical and Performance",Personal Care and Service Occupations,"Apply makeup to performers to reflect period, setting, and situation of their role."
39,39-5092,Manicurists and Pedicurists,Personal Care and Service Occupations,Clean and shape customers' fingernails and toenails.  May polish or decorate nails.
39,39-5094,Skincare Specialists,Personal Care and Service Occupations,Provide skincare treatments to face and body to enhance an individual’s appearance.  Includes electrologists and laser hair removal specialists.
39,39-6011,Baggage Porters and Bellhops,Personal Care and Service Occupations,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
39,39-6012,Concierges,Personal Care and Service Occupations,"Assist patrons at hotel, apartment, or office building with personal services.  May take messages, arrange or give advice on transportation, business services or entertainment, or monitor guest requests for housekeeping and maintenance."
39,39-9011,Childcare Workers,Personal Care and Service Occupations,"Attend to children at schools, businesses, private households, and childcare institutions.  Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.  Excludes ""Preschool Teachers, Except Special Education"" (25-2011) and ""Teacher Assistants"" (25-9041)."
39,39-9021,Personal Care Aides,Personal Care and Service Occupations,"Assist the elderly, convalescents, or persons with disabilities with daily living activities at the person's home or in a care facility.  Duties performed at a place of residence may include keeping house (making beds, doing laundry, washing dishes) and preparing meals.  May provide assistance at non-residential care facilities.  May advise families, the elderly, convalescents, and persons with disabilities regarding such things as nutrition, cleanliness, and household activities. "
39,39-9031,Fitness Trainers and Aerobics Instructors,Personal Care and Service Occupations,"Instruct or coach groups or individuals in exercise activities.  Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills.  Excludes teachers classified in 25-0000 Education, Training, and Library Occupations.  Excludes “Coaches and Scouts” (27-2022) and ""Athletic Trainers"" (29-9091)."
39,39-9032,Recreation Workers,Personal Care and Service Occupations,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities.  Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members."
39,39-9041,Residential Advisors,Personal Care and Service Occupations,"Coordinate activities in resident facilities in secondary and college dormitories, group homes, or similar establishments.  Order supplies and determine need for maintenance, repairs, and furnishings.  May maintain household records and assign rooms.  May assist residents with problem solving or refer them to counseling resources."
41,41-1011,First-Line Supervisors of Retail Sales Workers,Sales and Related Occupations,"Directly supervise and coordinate activities of retail sales workers in an establishment or department.  Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties."
41,41-1012,First-Line Supervisors of Non-Retail Sales Workers,Sales and Related Occupations,"Directly supervise and coordinate activities of sales workers other than retail sales workers.  May perform duties, such as budgeting, accounting, and personnel work, in addition to supervisory duties. "
41,41-2011,Cashiers,Sales and Related Occupations,"Receive and disburse money in establishments other than financial institutions.  May use electronic scanners, cash registers, or related equipment.  May process credit or debit card transactions and validate checks.  Excludes “Gaming Cage Persons and Booth Cashiers” (41-2012)."
41,41-2012,Gaming Change Persons and Booth Cashiers,Sales and Related Occupations,"Exchange coins, tokens and chips for patrons' money.  May issue payoffs and obtain customer's signature on receipt.  May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.  Excludes “Cashiers” (41-2011)."
41,41-2021,Counter and Rental Clerks,Sales and Related Occupations,"Receive orders, generally in person, for repairs, rentals, and services.  May describe available options, compute cost, and accept payment.  Excludes “Counter Attendants, Cafeteria, Food Concession, and Coffee Shop” (35-3022), “Hotel, Motel, and Resort Desk Clerks” (43-4081), “Order Clerks” (43-4151), and “Reservation and Transportation Ticket Agents and Travel Clerks” (43-4181)."
41,41-2022,Parts Salespersons,Sales and Related Occupations,Sell spare and replacement parts and equipment in repair shop or parts store.
41,41-2031,Retail Salespersons,Sales and Related Occupations,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.  Excludes ""Cashiers"" (41-2011)."
41,41-3011,Advertising Sales Agents,Sales and Related Occupations,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces. "
41,41-3021,Insurance Sales Agents,Sales and Related Occupations,"Sell life, property, casualty, health, automotive, or other types of insurance.  May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company."
41,41-3031,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations,"Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals.  May advise customers about stocks, bonds, mutual funds, commodities, and market conditions."
41,41-3041,Travel Agents,Sales and Related Occupations,"Plan and sell transportation and accommodations for travel agency customers.  Determine destination, modes of transportation, travel dates, costs, and accommodations required.  May also describe, plan, and arrange itineraries and sell tour packages.  May assist in resolving clients’ travel problems."
41,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related Occupations,"Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.  Excludes “Sales Engineers” (41-9031)."
41,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related Occupations,Sell goods for wholesalers or manufacturers to businesses or groups of individuals.  Work requires substantial knowledge of items sold.
41,41-9011,Demonstrators and Product Promoters,Sales and Related Occupations,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product.  May sell demonstrated merchandise.
41,41-9021,Real Estate Brokers,Sales and Related Occupations,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions.  Other duties usually include selling real estate or renting properties and arranging loans."
41,41-9022,Real Estate Sales Agents,Sales and Related Occupations,"Rent, buy, or sell property for clients.  Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts.  Includes agents who represent buyer."
41,41-9031,Sales Engineers,Sales and Related Occupations,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.  Excludes ""Engineers"" (17-2011 through 17-2199) whose primary function is not marketing or sales."
41,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related Occupations,Sell goods or services door-to-door or on the street.
43,43-1011,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,Directly supervise and coordinate the activities of clerical and administrative support workers.
43,43-2011,"Switchboard Operators, Including Answering Service",Office and Administrative Support Occupations,"Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls.  May supply information to callers and record messages."
43,43-3011,Bill and Account Collectors,Office and Administrative Support Occupations,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment.  Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; and keeping records of collection and status of accounts."
43,43-3021,Billing and Posting Clerks,Office and Administrative Support Occupations,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes.  Prepare billing invoices for services rendered or for delivery or shipment of goods."
43,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations,"Compute, classify, and record numerical data to keep financial records complete.  Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records.  May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.  Excludes “Payroll and Timekeeping Clerks” (43-3051)."
43,43-3041,Gaming Cage Workers,Office and Administrative Support Occupations,"In a gaming establishment, conduct financial transactions for patrons.  May reconcile daily summaries of transactions to balance books.  Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts.  May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons.  May convert gaming chips, tokens, or tickets to currency upon patron's request.  May use a cash register or computer to record transaction."
43,43-3051,Payroll and Timekeeping Clerks,Office and Administrative Support Occupations,"Compile and record employee time and payroll data.  May compute employees' time worked, production, and commission.  May compute and post wages and deductions, or prepare paychecks.  Excludes “Bookkeeping, Accounting, and Auditing Clerks” (43-3031)."
43,43-3061,Procurement Clerks,Office and Administrative Support Occupations,Compile information and records to draw up purchase orders for procurement of materials and services.
43,43-3071,Tellers,Office and Administrative Support Occupations,Receive and pay out money.  Keep records of money and negotiable instruments involved in a financial institution's various transactions.
43,43-4011,Brokerage Clerks,Office and Administrative Support Occupations,"Perform duties related to the purchase, sale or holding of securities.  Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings."
43,43-4021,Correspondence Clerks,Office and Administrative Support Occupations,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services.  Duties may include gathering data to formulate reply and preparing  correspondence."
43,43-4031,"Court, Municipal, and License Clerks",Office and Administrative Support Occupations,"Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus.  May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.  Clerks of Court are classified in “Managers, All Other” (11-9199)."
43,43-4051,Customer Service Representatives,Office and Administrative Support Occupations,"Interact with customers to provide information in response to inquiries about products and services and to handle and resolve complaints.  Excludes individuals whose duties are primarily installation, sales, or repair."
43,43-4061,"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations,"Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
43,43-4071,File Clerks,Office and Administrative Support Occupations,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used.  Locate and remove material from file when requested."
43,43-4081,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support Occupations,"Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
43,43-4111,"Interviewers, Except Eligibility and Loan",Office and Administrative Support Occupations,"Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires.  Ask specific questions, record answers, and assist persons with completing form.  May sort, classify, and file forms.  "
43,43-4121,"Library Assistants, Clerical",Office and Administrative Support Occupations,"Compile records, sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm.  Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title.  Register patrons to permit them to borrow books, periodicals, and other library materials.  Excludes “Library Technicians” (25-4031)."
43,43-4131,Loan Interviewers and Clerks,Office and Administrative Support Occupations,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department.  Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan."
43,43-4141,New Accounts Clerks,Office and Administrative Support Occupations,Interview persons desiring to open accounts in financial institutions.  Explain account services available to prospective customers and assist them in preparing applications. 
43,43-4151,Order Clerks,Office and Administrative Support Occupations,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities.  Generally receives orders via mail, phone, fax, or other electronic means.  Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.  Excludes ""Dispatchers, Except Police, Fire, and Ambulance"" (43-5032) who both dispatch and take orders for services."
43,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support Occupations,"Compile and keep personnel records.  Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination.  May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons. "
43,43-4171,Receptionists and Information Clerks,Office and Administrative Support Occupations,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.  Excludes ""Switchboard Operators, Including Answering Service"" (43-2011)."
43,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support Occupations,"Make and confirm reservations for transportation or lodging, or sell transportation tickets.  May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets, contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information.  Excludes ""Travel Agents"" (41-3041), ""Hotel, Motel, and Resort Desk Clerks"" (43-4081), and ""Cashiers"" (41-2011) who sell tickets for local transportation."
43,43-5011,Cargo and Freight Agents,Office and Administrative Support Occupations,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals, and shipping docks.  Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform.  Prepare and examine bills of lading to determine shipping charges and tariffs."
43,43-5021,Couriers and Messengers,Office and Administrative Support Occupations,"Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance.  Excludes ""Light Truck or Delivery Services Drivers"" (53-3033)."
43,43-5031,"Police, Fire, and Ambulance Dispatchers",Office and Administrative Support Occupations,"Operate radio, telephone, or computer equipment at emergency response centers.  Receive reports from the public of crimes, disturbances, fires, and medical or police emergencies.  Relay information to law enforcement and emergency response personnel.  May maintain contact with caller until responders arrive."
43,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support Occupations,"Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business.  Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
43,43-5041,"Meter Readers, Utilities",Office and Administrative Support Occupations,"Read meter and record consumption of electricity, gas, water, or steam."
